county,state,household_income,total_population,total_white_population
chicot county,AR,4014,10405,4454
childress county,TX,2070,6784,5039
chilton county,AL,16562,44857,36385
chippewa county,MI,13757,37091,25185
chippewa county,MN,5240,12509,10980
chippewa county,WI,26056,65877,61957
chisago county,MN,20565,56328,52794
chittenden county,VT,68146,167523,148711
choctaw county,AL,5211,12792,7255
choctaw county,MS,3492,8264,5621
choctaw county,OK,5756,14307,8721
chouteau county,MT,2201,5896,4549
chowan county,NC,6270,13796,8285
christian county,IL,13567,34038,32640
christian county,KY,25552,72377,50695
christian county,MO,32631,87824,82164
chugach census area,AK,2592,7015,5106
churchill county,NV,9753,25077,19955
ciales municipio,PR,5623,17045,11650
cibola county,NM,7934,27284,12103
cidra municipio,PR,13447,40125,19535
cimarron county,OK,829,2271,2047
citrus county,FL,65843,151888,138116
clackamas county,OR,159553,418577,351022
claiborne county,MS,2577,9115,990
claiborne county,TN,13410,31958,30524
claiborne parish,LA,5042,14456,6498
clallam county,WA,33636,76727,65166
clare county,MI,11686,30827,29433
clarendon county,SC,11585,31613,15450
clarion county,PA,14632,37571,35995
clark county,AR,8056,21569,15079
clark county,ID,282,839,566
clark county,IL,6379,15587,15042
clark county,IN,46417,120185,103249
clark county,KS,844,1994,1784
clark county,KY,14836,36716,33595
clark county,MO,2364,6649,6383
clark county,NV,816296,2231147,1184227
clark county,OH,55124,136032,116451
clark county,SD,1383,3791,3580
clark county,WA,184173,496494,404032
clark county,WI,12591,34655,32819
clarke county,AL,8250,23346,12131
clarke county,GA,52352,128195,77664
clarke county,IA,3740,9736,8918
clarke county,MS,5929,15678,10011
clarke county,VA,5692,14726,13110
clatsop county,OR,16649,40720,35941
clay county,AL,5399,14184,11650
clay county,AR,6152,14661,13930
clay county,FL,77434,216308,162749
clay county,GA,1286,2883,1194
clay county,IL,5447,13313,12741
clay county,IN,10478,26397,25354
clay county,IA,7137,16410,15595
clay county,KS,3605,8085,7751
clay county,KY,7015,20484,18820
clay county,MN,24998,64975,57533
clay county,MS,7489,18768,7203
clay county,MO,98033,250134,206761
clay county,NE,2429,6104,5669
clay county,NC,5152,10997,10318
clay county,SD,5322,14816,12817
clay county,TN,2973,7568,7144
clay county,TX,4119,10236,9502
clay county,WV,2896,8176,8131
clayton county,GA,103399,294335,41463
clayton county,IA,7319,17173,16594
clear creek county,CO,4427,9427,8684
clearfield county,PA,31195,80667,75458
clearwater county,ID,3474,8719,7982
clearwater county,MN,3215,8525,7189
cleburne county,AL,5598,15046,14011
cleburne county,AR,10664,24848,23766
clermont county,OH,81785,207650,195061
cleveland county,AR,2745,7632,6424
cleveland county,NC,36665,98898,72743
cleveland county,OK,112437,292110,217640
clinch county,GA,2361,6737,4496
clinton county,IL,14255,37048,34097
clinton county,IN,12146,33010,29061
clinton county,IA,19103,46589,42968
clinton county,KY,3791,9372,8987
clinton county,MI,30835,78895,72317
clinton county,MO,7946,21095,19994
clinton county,NY,32379,80095,72422
clinton county,OH,16548,42046,39364
clinton county,PA,14620,37824,36046
cloud county,KS,3633,9037,8543
coahoma county,MS,8301,21839,4483
coal county,OK,2092,5294,3563
coamo municipio,PR,13023,35268,15568
cobb county,GA,287426,762500,419267
cochise county,AZ,49239,125092,95923
cochran county,TX,973,2553,1671
cocke county,TN,14339,35896,33839
coconino county,AZ,51037,144942,87259
codington county,SD,11963,28289,26273
coffee county,AL,20478,53043,39137
coffee county,GA,14934,43048,27394
coffee county,TN,22417,57227,51327
coffey county,KS,3492,8361,7972
coke county,TX,1384,3288,2888
colbert county,AL,22640,56789,44400
cole county,MO,29867,77412,64067
coleman county,TX,3222,7848,6501
coles county,IL,20269,47542,43565
colfax county,NE,3582,10608,7376
colfax county,NM,5638,12406,9839
colleton county,SC,15059,38520,21857
collier county,FL,153711,372797,296596
collin county,TX,369168,1039812,653729
collingsworth county,TX,1053,2948,2055
colonial heights city,VA,7465,18127,13267
colorado county,TX,6999,20559,14047
